Name,Run,Session,Trial,AngleValue,Rt1,Resp1,Acc,PreviousTrialR,PreviousTrialCoh
1,2,1,52,-0.2,0.552515,1,1.0,1.0,0.8
1,2,1,53,0.2,0.472852,0,1.0,1.0,-0.2
1,2,1,55,0.5,0.450427,0,1.0,0.0,0.2
1,2,1,56,-0.2,0.487172,0,-1.0,1.0,0.5
1,2,1,57,-0.8,0.506574,1,1.0,-1.0,-0.2
1,2,1,58,0.2,0.46934,0,1.0,1.0,-0.8
1,2,1,59,-1.6,0.529294,1,1.0,1.0,0.2
1,2,1,60,0.5,0.499576,0,1.0,1.0,-1.6
1,2,1,61,-1.6,0.48628,1,1.0,1.0,0.5
1,2,1,62,1.6,0.465412,0,1.0,1.0,-1.6
1,2,1,63,0.5,0.590428,0,1.0,1.0,1.6
1,2,1,64,0.8,0.557745,0,1.0,1.0,0.5
1,2,1,65,0.2,0.566422,0,1.0,1.0,0.8
1,2,1,66,-0.5,0.598496,0,-1.0,1.0,0.2
1,2,1,67,-0.5,0.589814,1,1.0,-1.0,-0.5
1,2,1,68,0.5,0.629267,0,1.0,1.0,-0.5
1,2,1,69,1.6,0.387427,0,1.0,1.0,0.5
1,2,1,70,-0.2,0.522851,1,1.0,1.0,1.6
1,2,1,71,0.5,0.492693,0,1.0,1.0,-0.2
1,2,1,72,-0.8,0.528062,1,1.0,1.0,0.5
1,2,1,73,0.2,0.506266,0,1.0,1.0,-0.8
1,2,1,74,-0.2,0.444966,0,-1.0,1.0,0.2
1,2,1,75,0.5,0.434429,0,1.0,-1.0,-0.2
1,2,1,76,-0.5,0.607705,0,-1.0,1.0,0.5
1,2,1,77,-0.8,0.478142,1,1.0,-1.0,-0.5
1,2,1,78,-0.2,0.498472,0,-1.0,1.0,-0.8
1,2,1,79,0.2,0.661867,0,1.0,-1.0,-0.2
1,2,1,80,-0.8,0.594673,0,-1.0,1.0,0.2
1,2,1,81,-0.2,0.561985,1,1.0,-1.0,-0.8
1,2,1,82,0.5,0.522677,0,1.0,1.0,-0.2
1,2,1,83,0.5,0.436725,0,1.0,1.0,0.5
1,2,1,84,-0.2,0.522363,0,-1.0,1.0,0.5
1,2,1,85,-0.2,0.588494,1,1.0,-1.0,-0.2
1,2,1,86,0.8,0.44363,0,1.0,1.0,-0.2
1,2,1,87,0.5,0.44115,0,1.0,1.0,0.8
1,2,1,89,0.5,0.4681,0,1.0,0.0,-0.5
1,2,1,90,-0.5,0.775807,0,-1.0,1.0,0.5
1,2,1,91,-0.5,0.735929,1,1.0,-1.0,-0.5
1,2,1,92,-1.6,0.505242,1,1.0,1.0,-0.5
1,2,1,93,-0.2,0.500072,1,1.0,1.0,-1.6
1,2,1,94,-0.2,0.558709,0,-1.0,1.0,-0.2
1,2,1,95,-0.5,0.527349,1,1.0,-1.0,-0.2
1,2,1,96,-0.5,0.609462,0,-1.0,1.0,-0.5
1,2,1,97,-0.5,0.512343,1,1.0,-1.0,-0.5
1,2,1,98,0.8,0.55507,0,1.0,1.0,-0.5
1,2,1,99,0.5,0.643797,0,1.0,1.0,0.8
1,2,1,100,-0.2,0.673217,1,1.0,1.0,0.5
1,2,1,101,0.2,0.557106,1,-1.0,1.0,-0.2
1,2,1,102,0.2,0.485894,0,1.0,-1.0,0.2
1,2,1,103,0.2,0.585443,0,1.0,1.0,0.2
1,2,1,104,-0.5,0.544545,1,1.0,1.0,0.2
1,2,1,105,1.6,0.498127,0,1.0,1.0,-0.5
1,2,1,106,-0.5,0.565551,1,1.0,1.0,1.6
1,2,1,107,0.8,0.453545,0,1.0,1.0,-0.5
1,2,1,108,-1.6,0.474287,1,1.0,1.0,0.8
1,2,1,109,-0.2,0.702265,0,-1.0,1.0,-1.6
1,2,1,110,0.5,0.576946,1,-1.0,-1.0,-0.2
1,2,1,111,0.5,0.70525,0,1.0,-1.0,0.5
1,2,1,112,-0.5,0.55585,1,1.0,1.0,0.5
1,2,1,113,1.6,0.540408,0,1.0,1.0,-0.5
1,2,1,114,0.2,0.597905,1,-1.0,1.0,1.6
1,2,1,115,-0.5,0.477237,1,1.0,-1.0,0.2
1,2,1,116,0.2,0.721548,0,1.0,1.0,-0.5
1,2,1,117,0.8,0.45148,0,1.0,1.0,0.2
1,2,1,118,0.8,0.568253,0,1.0,1.0,0.8
1,2,1,119,0.2,0.671964,1,-1.0,1.0,0.8
